ID,Fecha,Latitud,Longitud,Departamento,Provincia,Distrito
SLIP-279,23/01/2020,-11.963115,-76.791404,LIMA,LIMA,LURIGANCHO
SLIP-280,28/01/2020,-6.935644,-78.088405,CAJAMARCA,CELENDIN,JORGE CHAVEZ
SLIP-281,28/01/2020,-15.134094,-72.42077,AREQUIPA,CONDESUYOS,CAYARANI
SLIP-283,28/01/2020,-14.032755,-69.391823,PUNO,SANDIA,ALTO INAMBARI
SLIP-284,20/01/2020,-14.364141,-72.898111,APURIMAC,ANTABAMBA,ANTABAMBA
SLIP-285,1/02/2020,-13.860415,-73.074288,APURIMAC,ABANCAY,PICHIRHUA
SLIP-286,31/01/2020,-13.366154,-75.448517,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA
SLIP-287,5/02/2020,-13.366154,-75.448517,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA
SLIP-288,7/02/2020,-13.139725,-72.573896,CUSCO,URUBAMBA,MACHUPICCHU
SLIP-289,8/02/2020,-13.053451,-74.483783,HUANCAVELICA,ANGARAES,SECCLLA
SLIP-290,10/02/2020,-9.296421,-76.466596,HUANUCO,HUAMALIES,MONZON
SLIP-291,9/02/2020,-9.712606,-76.094052,HUANUCO,HUANUCO,CHINCHAO
SLIP-292,10/02/2020,-13.406022,-73.545164,APURIMAC,CHINCHEROS,EL PORVENIR
SLIP-293,9/02/2020,-8.984391,-77.171155,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS
SLIP-294,24/02/2020,-16.783987,-70.689198,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA
SLIP-295,22/02/2020,-17.089936,-70.837561,MOQUEGUA,MARISCAL NIETO,TORATA
SLIP-296,15/02/2020,-13.651818,-74.60184,AYACUCHO,VICTOR FAJARDO,VILCANCHOS
SLIP-297,2/04/2020,-15.191984,-73.190817,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO
SLIP-298,1/04/2020,-15.554145,-72.969826,AREQUIPA,CONDESUYOS,CHICHAS
SLIP-299,31/03/2020,-10.641094,-75.94896,PASCO,PASCO,HUACHON
SLIP-300,16/03/2020,-10.296521,-76.332101,HUANUCO,AMBO,SAN FRANCISCO
SLIP-301,28/03/2020,-8.62225,-77.091761,HUANUCO,MARAÑON,HUACRACHUCO
SLIP-302,27/03/2020,-8.28733,-77.303905,LA LIBERTAD,PATAZ,TAYABAMBA
SLIP-303,21/03/2020,-14.901298,-74.557442,AYACUCHO,LUCANAS,SANTA LUCIA
SLIP-304,21/03/2020,-14.654838,-75.059848,ICA,NASCA,EL INGENIO
SLIP-305,21/03/2020,-14.533716,-75.192733,ICA,PALPA,PALPA
SLIP-306,12/03/2020,-13.340285,-75.601631,HUANCAVELICA,CASTROVIRREYNA,CAPILLAS
SLIP-307,14/03/2020,-16.431444,-71.631988,AREQUIPA,AREQUIPA,UCHUMAYO
SLIP-308,16/03/2020,-9.868393,-76.159599,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE
SLIP-309,17/03/2020,-13.681085,-72.989408,APURIMAC,ANDAHUAYLAS,HUANCARAMA
SLIP-310,16/03/2020,-6.176815,-77.854951,AMAZONAS,CHACHAPOYAS,HUANCAS
SLIP-311,2/03/2020,-9.177956,-77.75553,ANCASH,YUNGAY,MATACOTO
SLIP-312,2/03/2020,-10.118241,-77.150084,ANCASH,BOLOGNESI,HUASTA
SLIP-313,2/03/2020,-10.38781,-77.150084,ANCASH,BOLOGNESI,MANGAS
SLIP-314,26/02/2020,-17.202728,-70.987821,MOQUEGUA,MARISCAL NIETO,MOQUEGUA
SLIP-315,11/08/2020,-6.166715,-77.867314,AMAZONAS,CHACHAPOYAS,HUANCAS
SLIP-316,30/09/2020,-5.937301,-78.053656,AMAZONAS,BONGARA,JAZAN
SLIP-317,12/11/2020,-10.73031,-75.818082,PASCO,PASCO,PAUCARTAMBO
SLIP-318,29/11/2020,-12.963839,-72.664526,CUSCO,LA CONVENCION,MARANURA
SLIP-319,14/11/2020,-9.568169,-76.134077,HUANUCO,HUANUCO,CHINCHAO
SLIP-320,2/12/2020,-5.865539,-78.259091,AMAZONAS,UTCUBAMBA,JAMALCA
SLIP-321,7/12/2020,-13.604132,-71.758114,CUSCO,QUISPICANCHI,LUCRE
SLIP-322,6/12/2020,-9.778087,-77.632819,ANCASH,AIJA,AIJA
SLIP-323,11/12/2020,-9.153485,-75.774578,UCAYALI,PADRE ABAD,PADRE ABAD
SLIP-325,29/12/2020,-15.977454,-71.817499,AREQUIPA,CAYLLOMA,HUANCA
SLIP-326,11/12/2020,-9.544158,-76.163577,HUANUCO,HUANUCO,CHINCHAO
SLIP-327,25/12/2020,-13.648363,-73.359733,APURIMAC,ANDAHUAYLAS,SAN JERONIMO
SLIP-328,26/12/2020,-10.283142,-74.949862,PASCO,OXAPAMPA,PUERTO BERMUDEZ
